"","X","annual_income_ppp","average_wk_hrs","education_months","family_size","work_distance","languages"
"1",1,66417,50,157,5,3,1
"2",2,55124,50,156,5,0,1
"3",3,55124,50,155,5,3,1
"4",4,54238,50,154,5,0,1
"5",5,53573,50,150,4,0,1
"6",6,52688,51,147,5,0,1
"7",7,52245,51,143,5,0,1
"8",8,51138,51,141,5,0,1
"9",9,49810,51,137,4,2,1
"10",10,49367,51,134,4,0,1
"11",11,49367,51,132,5,0,1
"12",12,48702,51,119,5,2,1
"13",13,48038,52,115,5,0,1
"14",14,46930,52,112,4,2,1
"15",15,44937,52,108,4,0,1
"16",16,43830,52,104,5,0,1
"17",17,94763,39,205,3,0,1
"18",18,94098,39,205,3,0,1
"19",19,93434,39,205,3,0,1
"20",20,92769,39,205,3,0,1
"21",21,92104,39,194,3,0,1
"22",22,91219,40,185,3,0,1
"23",23,90998,40,181,3,0,1
"24",24,89226,40,179,3,0,1
"25",25,90555,40,174,3,0,1
"26",26,86790,54,172,3,0,1
"27",27,85241,41,165,3,0,1
"28",28,84133,41,166,4,0,1
"29",29,83690,41,164,3,0,1
"30",30,84798,42,164,4,0,1
"31",31,85462,42,163,3,0,1
"32",32,83247,42,164,3,0,1
"34",34,89447,38,207,4,3,1
"35",35,89226,39,207,4,3,1
"36",36,88783,39,207,3,3,1
"37",37,88341,39,202,3,3,1
"38",38,87898,40,198,3,3,1
"39",39,87233,40,192,3,0,1
"40",40,86569,40,186,2,0,1
"41",41,85904,54,183,2,0,1
"42",42,85019,41,183,2,3,1
"43",43,83912,41,179,2,3,1
"44",44,82582,41,176,2,0,1
"45",45,81254,42,173,2,0,1
"46",46,81033,42,169,2,0,1
"47",47,80590,42,166,2,3,1
"48",48,80368,42,164,2,0,1
"50",50,36965,49,172,2,0,1
"51",51,35637,49,172,2,0,1
"52",52,46488,49,159,2,0,1
"53",53,35415,49,149,2,2,1
"54",54,32315,55,144,2,2,1
"55",55,31208,50,139,2,2,1
"56",56,30323,50,134,2,0,1
"57",57,29215,50,129,2,0,1
"58",58,28107,50,123,2,0,1
"59",59,27443,50,119,2,2,1
"60",60,26779,50,114,3,2,1
"61",61,26115,51,108,2,0,1
"62",62,25450,51,104,2,1,1
"63",63,23679,51,99,3,1,1
"64",64,22793,51,93,1,0,1
"82",82,91219,37,241,3,3,1
"83",83,90776,37,241,3,3,1
"84",84,90555,38,239,3,0,1
"85",85,90112,54,238,3,3,1
"86",86,89669,38,235,4,3,1
"87",87,89890,38,231,4,0,1
"88",88,89447,38,229,4,0,1
"89",89,88119,39,229,4,0,1
"90",90,89004,39,227,4,0,1
"91",91,88341,39,229,4,3,1
"92",92,87898,39,229,4,3,1
"93",93,86569,39,230,5,0,1
"94",94,86569,39,229,5,0,1
"95",95,86347,40,221,5,0,1
"96",96,86569,40,214,5,0,1
"98",98,87676,40,187,2,0,1
"99",99,87233,40,187,2,0,1
"100",100,87233,40,187,2,0,1
"101",101,86126,40,187,2,0,1
"102",102,85241,41,183,2,0,1
"103",103,84798,54,178,2,0,1
"104",104,84576,54,183,2,0,1
"105",105,85241,41,176,2,0,1
"106",106,83912,41,170,2,0,1
"107",107,84133,41,166,3,0,1
"108",108,84133,41,166,3,0,1
"109",109,83468,41,165,3,0,1
"110",110,83247,41,165,3,0,1
"111",111,83247,42,169,3,0,1
"112",112,81919,42,170,3,0,1
"114",114,105613,36,277,5,0,1
"115",115,105170,36,275,5,2,1
"116",116,104728,36,273,5,2,1
"117",117,104063,37,270,5,0,1
"118",118,103842,37,266,5,0,1
"119",119,103399,37,261,5,0,1
"120",120,102513,37,261,5,0,1
"121",121,102513,37,260,5,0,1
"122",122,102291,37,275,5,0,1
"123",123,101848,38,275,5,0,1
"124",124,112921,53,280,5,0,1
"125",125,106277,54,279,5,0,1
"126",126,99412,38,273,5,0,1
"127",127,99412,38,278,5,0,1
"128",128,98526,38,277,5,0,1
"130",130,102734,39,224,6,1,1
"131",131,102069,39,222,6,1,1
"132",132,117350,39,222,6,1,1
"133",133,117350,39,222,1,1,1
"134",134,108491,39,219,6,0,1
"135",135,104063,39,217,6,1,1
"136",136,108491,40,215,1,1,1
"137",137,101848,40,216,1,1,1
"138",138,99191,40,214,1,1,1
"139",139,98306,40,213,1,1,1
"140",140,98084,40,210,1,1,1
"141",141,96977,40,210,1,1,1
"142",142,96755,41,227,1,0,1
"143",143,96534,54,220,0,0,1
"144",144,95426,54,219,1,0,1
"146",146,83025,40,181,4,0,1
"147",147,82361,54,178,3,0,1
"148",148,81697,41,177,3,1,1
"149",149,81033,41,176,3,0,1
"150",150,79925,41,176,3,0,1
"151",151,95206,42,174,3,1,1
"152",152,84133,42,174,2,0,1
"153",153,84133,42,174,3,0,1
"154",154,75719,42,164,3,0,1
"155",155,73946,42,170,4,0,1
"156",156,73946,43,168,4,0,1
"157",157,72617,43,165,4,0,1
"158",158,72617,43,163,2,0,1
"159",159,71954,43,161,2,0,1
"160",160,69960,43,157,3,0,1
"194",194,80590,50,156,1,1,1
"195",195,79704,50,156,1,13,1
"196",196,92990,51,155,2,1,1
"197",197,84133,51,149,2,12,1
"198",198,77268,51,143,2,1,1
"199",199,76382,51,137,2,0,1
"200",200,75497,51,140,1,1,1
"201",201,74389,51,140,1,12,1
"202",202,73503,52,137,1,0,1
"203",203,72617,52,135,1,1,1
"204",204,71511,52,134,1,1,1
"205",205,70403,52,132,1,0,1
"206",206,69297,52,129,1,0,1
"207",207,68189,55,127,1,0,1
"208",208,67082,55,125,1,11,1
"226",226,81919,37,222,3,1,1
"227",227,81254,38,222,4,1,1
"228",228,81697,54,221,3,1,1
"229",229,81919,38,220,3,1,1
"230",230,84133,38,220,3,0,1
"231",231,77490,38,219,4,0,1
"232",232,77490,38,215,3,1,1
